,1,2,5,10,25,50,100,200,500,1000
5-min,0.315,0.375,0.454,0.515,0.592,0.651,0.709,0.767,0.845,0.902
10-min,0.489,0.586,0.706,0.795,0.906,0.988,1.07,1.14,1.24,1.31
15-min,0.599,0.717,0.867,0.979,1.12,1.22,1.33,1.42,1.55,1.64
30-min,0.793,0.959,1.19,1.36,1.58,1.75,1.91,2.08,2.3,2.46
60-min,0.968,1.18,1.49,1.73,2.05,2.3,2.56,2.82,3.18,3.46
2-hr,1.11,1.34,1.69,1.96,2.34,2.63,2.94,3.26,3.69,4.02
3-hr,1.18,1.42,1.78,2.07,2.48,2.8,3.13,3.48,3.96,4.34
6-hr,1.41,1.7,2.12,2.46,2.95,3.33,3.74,4.18,4.79,5.28
12-hr,1.67,1.99,2.46,2.85,3.4,3.85,4.33,4.84,5.57,6.16
24-hr,1.96,2.33,2.85,3.27,3.87,4.36,4.87,5.41,6.16,6.76
2-day,2.29,2.72,3.29,3.76,4.4,4.93,5.46,6.02,6.78,7.39
3-day,2.44,2.9,3.49,3.97,4.63,5.16,5.7,6.26,7.03,7.63
4-day,2.6,3.09,3.69,4.18,4.85,5.39,5.94,6.51,7.27,7.88
7-day,3.11,3.66,4.33,4.85,5.57,6.13,6.69,7.25,8.01,8.58
10-day,3.58,4.21,4.92,5.49,6.24,6.83,7.41,7.99,8.75,9.32
20-day,5.01,5.87,6.77,7.48,8.4,9.12,9.81,10.5,11.3,12
30-day,6.28,7.33,8.38,9.2,10.3,11.1,11.8,12.6,13.5,14.2
45-day,7.98,9.3,10.5,11.4,12.6,13.5,14.3,15,16,16.6
60-day,9.62,11.2,12.5,13.5,14.8,15.7,16.6,17.4,18.4,19
